Entry	Entry name	Gene names
P47015	AIM23_YEAST	AIM23 YJL131C J0682
C7GJB0	AIM44_YEAS2	AIM44 C1Q_00199
B3LU06	AIM20_YEAS1	AIM20 SCRG_05331
A6ZR36	AIM9_YEAS7	AIM9 FMP29 SCY_1583
C7GWG7	AIM41_YEAS2	AIM41 C1Q_04863
A6ZVB8	AIM20_YEAS7	AIM20 SCY_2634
C8ZAV4	AIM20_YEAS8	AIM20 EC1118_1I12_0111g
C8ZEK9	AIM34_YEAS8	AIM34 EC1118_1M3_1607g
Q08223	AIM39_YEAST	AIM39 YOL053W O1269
B3LTK6	AIM21_YEAS1	AIM21 SCRG_05176
P32074	COPG_YEAST	SEC21 YNL287W N0543
P38884	AIM18_YEAST	AIM18 FMP22 YHR198C
P53822	COS1_YEAST	COS1 YNL336W N0275
Q05611	BSC2_YEAST	BSC2 YDR275W
P38328	ARPC1_YEAST	ARC40 YBR234C YBR1532
Q05949	BUR2_YEAST	BUR2 CST4 YLR226W
P24869	CG22_YEAST	CLB2 YPR119W P9642.6
P40467	ASG1_YEAST	ASG1 YIL130W
P47143	ADK_YEAST	ADO1 YJR105W J1973
P53959	COG6_YEAST	COG6 COD2 SEC37 TFI2 YNL041C N2675
C8Z9U3	CRP1_YEAS8	CRP1 EC1118_1H13_1200g
P46671	FAR3_YEAST	FAR3 YMR052W YM9796.05
P52910	ACS2_YEAST	ACS2 YLR153C L9634.10
E7QLJ6	BBP1_YEASZ	BBP1 VL3_4732
P38892	CRG1_YEAST	CRG1 YHR209W
P32768	FLO1_YEAST	FLO1 FLO2 FLO4 FLO8 YAR050W
P23501	DS1P2_YEAST	YSR3 LBP2 YKR053C
Q07651	FMP45_YEAST	FMP45 YDL222C
Q04868	ELP6_YEAST	ELP6 HAP3 TOT6 YMR312W YM9924.04
Q12431	EMC6_YEAST	EMC6 YLL014W L1321
Q07648	DTD_YEAST	DTD1 YDL219W
B3LS51	GMT2_YEAS1	HVG1 YEM9 SCRG_04508
E7KUJ4	FOLE_YEASL	MET7 QA23_4580
A7A1G0	DBP9_YEAS7	DBP9 SCY_3838
P38774	DOG1_YEAST	DOG1 YHR044C
Q07872	ENT4_YEAST	ENT4 YLL038C
Q05785	ENT2_YEAST	ENT2 YLR206W
Q99382	ENV10_YEAST	ENV10 SND2 YLR065C L2180
Q08651	ENV9_YEAST	ENV9 YOR246C
P21182	DCAM_YEAST	SPE2 YOL052C O1275
P40515	FIS1_YEAST	FIS1 MDV2 YIL065C
P15646	FBRL_YEAST	NOP1 LOT3 YDL014W D2870
P54858	DOS2_YEAST	DOS2 YDR068W D4267 YD8554.01 YD9609.22
P08417	FUMH_YEAST	FUM1 YPL262W
Q08907	FIT3_YEAST	FIT3 YOR383C
Q04949	DYN3_YEAST	DYN3 YMR299C YM9952.01C
P25613	ADY2_YEAST	ADY2 ATO1 YCR010C YCR10C
Q03048	COFI_YEAST	COF1 YLL050C L0596
Q04728	ARGJ_YEAST	ARG7 ECM40 YMR062C YM9916.01C
A6ZZZ8	CAF4_YEAS7	CAF4 SCY_3408
P25656	CDC50_YEAST	CDC50 YCR094W YCR94W
Q12380	ATG5_YEAST	ATG5 APG5 YPL149W P2601
A6ZT79	ATG7_YEAS7	ATG7 APG7 CVT2 SCY_2563
P38813	BIG1_YEAST	BIG1 YHR101C
P40013	BIM1_YEAST	BIM1 YER016W
P00830	ATPB_YEAST	ATP2 YJR121W J2041
A6ZKM4	ATG8_YEAS7	ATG8 APG8 AUT7 CVT5 SCY_0144
Q04601	APC4_YEAST	APC4 YDR118W
Q01896	ATN2_YEAST	ENA2 PMR2B YDR039C
C8Z5R1	ATP22_YEAS8	ATP22 EC1118_1D0_6414g
B5VGN1	ATP22_YEAS6	ATP22 AWRI1631_45660
P53940	APJ1_YEAST	APJ1 YNL077W N2342
Q03153	ATP25_YEAST	ATP25 YMR098C YM6543.05C
P47001	CIS3_YEAST	CIS3 CCW11 CCW5 PIR4 SCW8 YJL158C J0561
Q12510	CMR1_YEAST	CMR1 YDL156W D1536
P17898	CPT1_YEAST	CPT1 YNL130C N1218 N1867
B3RHR9	BL1S1_YEAS1	BLS1 SCRG_04347
P22580	AMDY_YEAST	AMD2 AMDY AMDY1 YDR242W YD8419.09
P60010	ACT_YEAST	ACT1 ABY1 END7 YFL039C
Q12365	BBP1_YEAST	BBP1 YPL255W P0745
C7GXX9	EDS1_YEAS2	EDS1 C1Q_05392
P53847	DSL1_YEAST	DSL1 YNL258C N0842
Q02884	ELP4_YEAST	ELP4 HAP1 TOT7 YPL101W
P29703	FNTA_YEAST	RAM2 YKL019W
Q12168	ENG2_YEAST	ACF2 ENG2 PCA1 YLR144C L3180
P09032	EI2BG_YEAST	GCD1 TIF223 TRA3 YOR260W
P32501	EI2BE_YEAST	GCD6 TIF225 YDR211W YD8142.12 YD8142B.03
P06103	EIF3B_YEAST	PRT1 CDC63 YOR361C
A6ZQR2	ENOPH_YEAS7	UTR4 SCY_1459
Q06337	EAF1_YEAST	EAF1 VID21 YDR359C
B5VKC6	AIM18_YEAS6	AIM18 FMP22 AWRI1631_82500
P14772	BPT1_YEAST	BPT1 YLL015W L1313
A6ZUI6	CBP4_YEAS7	CBP4 SCY_2069
P00729	CBPY_YEAST	PRC1 YMR297W
Q3E829	CENPX_YEAST	MHF2 YDL160C-A
Q12140	BSC1_YEAST	BSC1 YDL037C D2734
P53062	BRR6_YEAST	BRR6 YGL247W NRA197
P04037	COX4_YEAST	COX4 YGL187C G1362
P00424	COX5A_YEAST	COX5A YNL052W N2474 YNL2474W
B3LQW4	COXM1_YEAS1	CMC1 SCRG_03889
Q12406	ARP7_YEAST	ARP7 SWP61 YPR034W YP9367.14
Q12509	ARP6_YEAST	ARP6 YLR085C L2393 L9449.13
P38115	ARA1_YEAST	ARA1 YBR149W YBR1127
Q05955	ADY4_YEAST	ADY4 YLR227C L8083.11
P53197	CDH1_YEAST	CDH1 HCT1 YGL003C
P53068	APC10_YEAST	DOC1 APC10 YGL240W HRC283
P01097	ATIF_YEAST	INH1 YDL181W D1305
Q12349	ATP14_YEAST	ATP14 YLR295C L8003.20
P81450	ATP18_YEAST	ATP18 YML081C-A YML081BC
