geneName,DEG_id,uniprot_id
BRPF1,DEG20110536,P55201
ARPC4,DEG20110537,P59998
SETD5,DEG20110538,Q9C0A6
ATP2B2,DEG20110539,Q01814
SLC6A1,DEG20110540,P30531
RAF1,DEG20110541,P04049
IQSEC1,DEG20110542,Q6DN90
FGD5,DEG20110543,Q6ZNL6
NR2C2,DEG20110544,P49116
SLC6A6,DEG20110545,P31641
ANKRD28,DEG20110546,O15084
DAZL,DEG20110547,Q92904
PLCL2,DEG20110548,Q9UPR0
RARB,DEG20110549,P10826
UBE2E2,DEG20110550,Q96LR5
THRB,DEG20110551,P10828
KAT2B,DEG20110552,Q92831
TOP2B,DEG20110553,Q02880
RPL15,DEG20110554,P61313
TRIM71,DEG20110555,Q2Q1W2
STT3B,DEG20110556,Q8TCJ2
CNOT10,DEG20110557,Q9H9A5
DYNC1LI1,DEG20110558,Q9Y6G9
CLASP2,DEG20110559,O75122
UBP1,DEG20110560,Q9NZI7
SCN5A,DEG20110561,Q14524
WDR48,DEG20110562,Q8TAF3
OXSR1,DEG20110563,O95747
ACVR2B,DEG20110564,Q13705
CTNNB1,DEG20110565,P35222
ZBTB47,DEG20110566,Q9UFB7
RPL14,DEG20110567,P50914
NKTR,DEG20110568,P30414
ZNF445,DEG20110569,P59923
SNRK,DEG20110570,Q9NRH2
SETD2,DEG20110571,Q9BYW2
DHX30,DEG20110572,Q7L2E3
CDC25A,DEG20110573,P30304
SMARCC1,DEG20110574,Q92922
KLHL18,DEG20110575,O94889
MAP4,DEG20110576,P27816
CELSR3,DEG20110577,Q9NYQ7
IP6K2,DEG20110578,Q9UHH9
QRICH1,DEG20110579,Q2TAL8
ARIH2,DEG20110580,O95376
PRKAR2A,DEG20110581,P13861
DAG1,DEG20110582,Q14118
RNF123,DEG20110583,Q5XPI4
USP19,DEG20110584,O94966
BSN,DEG20110585,Q9UPA5
RBM5,DEG20110586,P52756
CAMKV,DEG20110587,Q8NCB2
SEMA3F,DEG20110588,Q13275
RBM6,DEG20110589,P78332
GRM2,DEG20110590,Q14416
